"plant";"prodSpv";"kodeScrap";"ScrapText";"groupScrap";"waktu"
"1200";"201";"2010001";"AV MATI";;"2019-12-11 10:28:41"
"1200";"201";"2010002";"AZIMUTH KECIL";;"2019-12-11 10:28:41"
"1200";"201";"2010003";"BARET";;"2019-12-11 10:28:41"
"1200";"201";"2010004";"BEKAS PAKAI/NEMPEL";;"2019-12-11 10:28:41"
"1200";"201";"2010005";"BENDING";;"2019-12-11 10:28:41"
"1200";"201";"2010006";"CRIMPING JELEK";;"2019-12-11 10:28:41"
"1200";"201";"2010007";"DEKOK";;"2019-12-11 10:28:41"
"1200";"201";"2010008";"DOL";;"2019-12-11 10:28:41"
"1200";"201";"2010009";"HANK";;"2019-12-11 10:28:41"
"1200";"201";"2010010";"HDMI TAK KERJA";;"2019-12-11 10:28:41"
